user1212566225,pass1212566225
user-212694365,pass-212694365
Username1000,Password111
UserRegular,regular
user-1962399848,pass-1962399848
user78246,password74999
user93102,password5499
useraaa,aaa
user45505,password18947
user14394,password28035
user13748,password4112
user-314894569,pass-314894569
User2,Password2,2
User1,Password1,0;1;7227;3654;8022;890;2711;4031;5880;9912;8372;4782;3120
user338542308,pass338542308
user54184,password44036
user-525033497,pass-525033497
user15779,password462
user305296231,pass305296231
user1178971984,pass1178971984
user-1671158181,pass-1671158181
user92397,password56638
user1251421002,pass1251421002
user90778,password96554
user78193,password58656
Username,Password
user-750488320,pass-750488320
user60036,password1758
user-424774646,pass-424774646
user49094,password6215
user45090,password25403
user2038098071,pass2038098071
user,pass,838515229
